armement,armament,construction navale Fin de la construction d ’ un bateau .
commentaire,comment,"Éclaircissements , observations et remarques sur un livre , sur un texte , pour en faciliter l ’ intelligence ."
commentaire,comment,"Interprétation , le plus souvent maligne , qu ’ on donne aux paroles ou aux actions de ’ un ."
commentaire,comment,"éclaircissements , observations et remarques sur un livre , sur un texte"
commentaire,comment,Pour imposer silence à un inférieur qui se permet de faire des observations
impérial,imperial,Qui appartient à un empereur ou à un empire .
impérial,imperial,Qui domine sa discipline avec talent .
méthodique,methodical,Qui a de la règle et de la méthode .
méthodique,methodical,"Qui est fait avec méthode , avec règle , où il y a de la méthode ."
méthodique,methodical,Qualifie une personne trop compassée qui n ’ agit que par poids et par mesure .
ostentation,ostentation,Affectation de montrer des qualités ou des avantages dont on veut faire parade .
processus,process,Suite d actions conduisant à un but défini .
processus,process,Changement progressif ou par phases .
processus,process,Tâche en train de s ’ exécuter .
processus,process,Gestion de la qualité Système d activités qui utilise des ressources pour transformer des éléments entrants en éléments de sortie dont le résultat final attendu est un produit ou un service .
tael,tael,Poids et monnaie
chorion,chorion,embryologie Enveloppe extérieure du fœtus .
chorion,chorion,Tissu conjonctif dans une muqueuse .
chorion,chorion,Synonyme de derme .
lapilli,lapilli,Vulcanologie Fragment de lave éjecté lors d une éruption par un volcan .
séjour,stay,"Demeure , résidence plus ou moins longue dans un lieu , dans un pays ."
séjour,stay,Temps qu ’ un bâtiment de guerre passe en relâche .
séjour,stay,Arrêt des liquides qui restent plus ou moins longtemps en quelque endroit .
séjour,stay,"Par métonymie , temps passé dans un lieu déterminé ."
utopie,utopia,Pays imaginaire où un gouverneur idéal règne sur un peuple heureux .
utopie,utopia,Plan d ’ une société ou d ’ un gouvernement idéal et parfait .
utopie,utopia,par ext Idéal social ou politique qui ne tient pas compte de la réalité .
utopie,utopia,par ext Idéal jugé irréalisable .
coquet,coquettish,"Qui use de coquetterie . — note Dans ce sens , il est surtout utilisé au féminin et il porte une connotation péjorative ."
coquet,coquettish,par ext Qui est recherché dans sa toilette .
coquet,coquettish,"Qui a un aspect élégant , plaisant ."
coquet,coquettish,"Assez élevée , en parlant d ’ une somme d ’ argent ."
ensuite,consequently,"Après cela , à la suite ."
ensuite,consequently,Après cela .
sphynx,sphynx,Monstre mythique à corps de lion et à tête humaine .
baquet,box,Petit cuvier de bois qui a les bords assez bas .
baquet,box,Caisse où les graveurs versent et font mordre l ’ sur des planches de cuivre .
baquet,box,Pierre creuse remplie d ’ eau pour nettoyer les caractères d ’ imprimerie .
baquet,box,"C est un vaisseau de bois rond , quarré ou oblong dans lequel le jardinier sème quelques graines . Les plus communs sont ronds et font la moitié d un muid ou un scié en deux ou bien on en fait exprès chez le tonnelier pour être à peu près de la même figure et pour cet effet il emploie des douves des cerceaux et des osiers ."
biblique,biblical,"Qui appartient , qui est propre à la Bible ."
biblique,biblical,particulier Qualifie un style par lequel on imite ou la simplicité ou les figures hardies du style de la Bible .
biblique,biblical,par ext Qualifie une imitation fausse et défectueuse de ce même style .
biblique,biblical,"particulier Qualifie une société , une association , , établie pour la propagation des doctrines bibliques ."
blasé,blasé,Indifférent
chœur,chorus,Troupe de gens qui chantent ensemble .
chœur,chorus,Morceau de musique à plusieurs parties qui est chanté par le chœur .
chœur,chorus,"Partie de l ’ église où l ’ on chante la messe , séparée de la nef et qui abrite l ’ autel ."
chœur,chorus,par ext Ce que chante un <concept> .
ethnographie,ethnography,"Science qui traite des différents peuples , de leurs mœurs , coutumes , religions , langage ."
fenêtre,window,"Ouverture faite dans certaines parties d ’ un bâtiment , pour donner du jour et de l ’ air à l ’ intérieur ."
fenêtre,window,Bois et son vitrage qui composent la croisée .
fenêtre,window,Deux ouvertures placées à la paroi interne de la cavité du tympan .
fenêtre,window,"Lieu présentant les meilleurs aspects d un régime , d une entité …"
centenaire,centenarian,Qui remonte à cent ans .
colère,anger,Réaction vive et parfois violente contre ce qui blesse un sentiment .
colère,anger,Qui est sujet à se mettre en colère .
flamboyance,flamboyance,"État de celui , celle ou ce qui est flamboyant ."
foudre,lightning,"Décharge électrique , par temps d ’ orage , entre des nuages et certaines fois entre des nuages et le sol , qui produit une vive lumière et une violente détonation . On dit , comme sur la photo , que la foudre est tombée quand elle a touché le sol ou quelque chose en relief sur le sol , arbre , construction , , a été touché ."
foudre,lightning,"Ce qui est aussi prompt , aussi rapide , aussi destructeur que la foudre ."
foudre,lightning,Souvent au pluriel Réprobation religieuse ; condamnation religieuse .
foudre,lightning,au pluriel Colère .
gramme,gram,"Unité de mesure de masse du Système international , valant 10 & minus ; 3 kilogrammes , et dont le symbole est g . À l ’ origine le gramme représentait la masse d ’ un centimètre cube d ’ eau au maximum de sa densité ."
gramme,gram,Précédé d ’ une négation Désigne une petite quantité de quelque chose .
gramme,gram,"<concept> par litre d alcool dans le sang , en parlant d une alcoolémie ."
gramme,gram,Unité de mesure de masse
jais,jet,"Bois fossile , assez dur pour être taillé . On en fait de petits ouvrages , colliers , bracelets , boutons de deuil ,"
jais,jet,Verre teint de différentes couleurs qui sert en bijouterie .
jais,jet,Couleur d ’ un noir soutenu et brillant . # 000000
coucher,setting,5 . <concept> d ’ un astre .
fortuné,fortunate,Qui est au comble du bonheur .
fortuné,fortunate,"Qui donne le bonheur , où l ’ on trouve le bonheur ."
fortuné,fortunate,Qui est pourvu de grandes richesses .
tenue,grip,Action de tenir .
tenue,grip,particulier Période pendant laquelle certaines assemblées se tiennent .
tenue,grip,particulier Réunion ouverte et fermée rituellement .
tenue,grip,"Manière de tenir , d ’ entretenir , de soigner ."
adresse,ability,Caractère de ce qui est adroit
apparat,pomp,"Éclat qu ’ on donne à certains actes , à certains discours ."
apparat,pomp,"Table de concordance destinée à faciliter l étude d un texte , d un auteur , d un ensemble d œuvres ."
apparat,pomp,ostentation
bailli,bailiff,"Officier royal ou seigneurial , au nom duquel la justice se rendait dans l ’ étendue d ’ une certaine juridiction où il exerce par délégation un pouvoir administratif et militaire , et surtout des attributions judiciaires ."
bailli,bailiff,Officier royal de robe longue qui rendait la justice dans une juridiction et dont les appellations ressortissaient immédiatement au parlement .
bailli,bailiff,Officier de robe longue qui rendait la justice au nom d ’ un seigneur .
bailli,bailiff,"Chevalier de l ’ ordre de Malte , revêtu d ’ une dignité qui le mettait des commandeurs et qui lui donnait le privilège de porter la ."
bienvenu,welcome,"Qui arrive à propos , que l ’ on accueille avec plaisir ."
effervescence,effervescence,"Bouillonnement accompagné du dégagement d ’ un gaz , produit par le contact ou le mélange de deux substances et qui a les apparences de l ’ ébullition ."
effervescence,effervescence,"Émotion vive et passagère dans l ’ âme , dans l ’ esprit ."
effervescence,effervescence,Agitation politique ou sociale .
effervescence,effervescence,Bouillonnement accompagné du dégagement d ’ un gaz
idéal,ideal,Tous les intérêts qui s ’ opposent à ceux de la vie matérielle et qui les dépassent ( 2 )
idéal,ideal,Ce qui donnerait une satisfaction parfaite ( 1 )
lucre,lucre,Profit plus ou moins licite que l ’ on recherche dans une entreprise .
pliant,supple,"Qui est souple , flexible , facile à plier ."
pliant,supple,part Qualifie un meuble qui se replie pour permettre son rangement .
pliant,supple,"Qui est docile , accommodant , disposé à faire ce que les autres veulent ou ce que les circonstances demandent ."
pliant,supple,Siège qui se plie en deux pour son rangement .
venlafaxine,venlafaxine,Antidépresseur utilisé dans le traitement de la dépression nerveuse sévère et le trouble panique .
écrit,writing,document rédigé
oceanarium,oceanarium,"Réservoir d ’ eau de mer naturelle ou reconstituée , de très grande taille , dans lequel on garde des organismes marins ."
oceanarium,oceanarium,"par extension Établissement océanographique , bâtiment ou espace dans lequel une collection d ’ organismes marins est exposée dans des réservoirs simulant l ’ océan , spécialement un habitat pélagique ."
oceanarium,oceanarium,Type de parc spécialisé dans la présentation et l ’ élevage de mammifères marins .
ascaris,ascaris,Ver rond faisant partie d ’ une famille dans laquelle l ’ adulte parasite l ’ intestin grêle des mammifères .
auspice,auspice,"Présages envoyés par les dieux via le vol , le chant des oiseaux ou par la manière dont mangeaient les poulets sacrés ."
auspice,auspice,Prêtre qui interprétait ces auspices .
auspice,auspice,Circonstances qui permettent d envisager l avenir .
auspice,auspice,Protection ou aide que donne une autorité .
litchi,lychee,"Arbre fruitier de la famille des sapindacées d ’ origine chinoise , cultivé depuis plus de 4000 ans ."
litchi,lychee,"Fruit comestible de cet arbre qui est constitué d ’ une écorce rose puis brunâtre en vieillissant et qui comporte des écailles , sous lesquelles se trouve la partie habituellement consommée , une matière gélatineuse blanche ."
mariola,mariola,"zootechnie Race de gros pigeons originaires d ’ Orient , larges ."
partout,everywhere,En tous lieux ; en tous endroits ; de tous côtés .
partout,everywhere,En quelque lieu que ce puisse être .
partout,everywhere,En tous lieux .
rempart,rampart,"Levée de terre , ... , qui défend une place ."
rempart,rampart,Ce qui sert de défense .
souder,solder,"Joindre des pièces de métal ensemble , au moyen d ’ une composition métallique fusible ."
souder,solder,"Unir directement par le martelage ou la fusion autogène des parties en contact , de manière à n ’ en faire qu ’ une même pièce , en parlant des pièces de métal ."
souder,solder,Réunir fermement des choses qui ne le sont pas habituellement .
souder,solder,"pronominal ou à la voix passive Se rejoindre ou se trouver uni de manière à ne plus former qu ’ une seule pièce , en parlant de parties anatomiques d un végétal , d ’ abord ou ordinairement distinctes ."
timar,timar,"Fief militaire de ottoman accordé par un grand seigneur à un vassal , à charge de ce dernier les cavaliers et de fournir le service militaire ."
pagode,pagoda,"Temple en forme de pavillon , consacré au culte des dieux en Asie ."
pagode,pagoda,par ext plus rare Le dieu qu ’ on adore dans un temple de ce genre .
pagode,pagoda,"Petites figures , ordinairement de porcelaine , et qui souvent ont la tête mobile , synonyme : magot ."
piège,trap,"Instrument , machine dissimulée dont on se sert pour prendre des animaux , comme les loups , les renards ,"
piège,trap,par ext Dispositif dissimulé ou d ’ aspect inoffensif destiné à prendre par surprise un adversaire pour le blesser ou le tuer .
piège,trap,"Embûche , artifice dont on se sert pour tromper ’ un ."
catafalque,catafalque,"Estrade décorée sur laquelle on place le cercueil d ’ un mort , ou ce qui le représente pendant une cérémonie funèbre ."
idylle,idyll,Petit poème à sujet pastoral ou amoureux .
idylle,idyll,"par ext Liaison romantique , aventure amoureuse qui ne reste pas toujours chaste ."
idylle,idyll,Amour naïf et tendre vécu affectivement par deux êtres dans la fraîcheur d un sentiment idéalisé . Relation rêvée dans un climat idéal .
insinuation,innuendo,Adresse par laquelle on donne à entendre
insinuation,innuendo,Ce que dit un orateur pour gagner la bienveillance de son auditoire
poil,hair,Filet délié qui croît sur la peau de la plupart des mammifères et à certains endroits du corps humain .
poil,hair,collectivement Tous les poils qui sont sur le corps d ’ un animal .
poil,hair,"La chevelure ; mais , dans cette acception , on ne l ’ emploie guère qu ’ en parlant des cheveux dont la couleur passe pour désagréable , ou est altérée par l ’ âge ."
poil,hair,"<concept> hérissé se dit des cheveux , lorsqu ’ ils se dressent sur la tête ."
quadrillion,septillion,Un million à la puissance quatre . 10 24 .
quadrillion,septillion,ou Un million de milliards . 10 15 .
réponse,answer,"Parole dite , ou acte effectué , en réaction à une question posée , une demande , ou à une déclaration , ou encore à un évènement ."
réponse,answer,"Écrit , d ’ une lettre en retour à un autre écrit ."
réponse,answer,"Il se dit particulièrement , en termes de procédures des écritures qu ’ une partie fait signifier pour répondre aux moyens que l ’ autre a présentés ."
réponse,answer,"Motif d ’ une fugue qui répond , qui correspond au sujet ."
salamandre,salamander,Ustensile métallique
capucine,nasturtium,Religieuse de l ’ ordre de .
capucine,nasturtium,"Plante de la famille des , ainsi nommée parce que sa fleur est terminée par un prolongement en forme de capuchon ."
capucine,nasturtium,par ext Fleur que porte cette plante .
capucine,nasturtium,"Couleur qui ressemble à celle des fleurs de la capucine , qui est une espèce d ’ aurore foncé ."
changement,change,Passage d un état à un autre .
changement,change,Dispositif permettant de changer
clé,key,Pièce de métal que l ’ on introduit dans une serrure pour ouvrir ou fermer un accès .
clé,key,"par ext Tout dispositif portatif , utilisé manuellement , dont l ’ action mécanique , voire la simple présentation à un appareil de détection , permet d ’ actionner un système , de le bloquer ou le débloquer , d ’ en démarrer le fonctionnement ."
clé,key,"Outil qui sert à ouvrir et à fermer , à tendre et à détendre , à monter ou à démonter , à serrer ou desserrer , à maintenir ,"
clé,key,Pièce métallique mobile servant à boucher et à ouvrir les trous d ’ un instrument à vent .
feuillet,folio,"Chaque partie d ’ une feuille de papier qui a été pliée ou coupée en deux , en quatre , en huit , , en vue d ’ y écrire , d ’ y imprimer ou d ’ y dessiner ."
feuillet,folio,Chacune des lames qui garnissent le dessous du chapeau des agarics .
feuillet,folio,"Troisième estomac des ruminants , qui est tapissé de follicules ."
feuillet,folio,Planche mince destinée à servir de panneau .
inconnue,unknown,"Personne <concept> , du sexe féminin ."
inconnue,unknown,Quantité à découvrir en résolvant des équations .
pittoresque,picturesque,"Qui concerne la peinture , qui appartient à la peinture . — note On dit plus volontiers aujourd hui pictural ."
pittoresque,picturesque,"Qui est illustré par des gravures . — note Dans ce sens , il entrait dans la composition des titres de nombreuses revues illustrées du XIXe siècle ."
pittoresque,picturesque,"Qui mérite d être peint , qui est propre à faire de l ’ effet dans un tableau ."
pittoresque,picturesque,"Original , qui a du caractère , en particulier d un point de vue visuel , puis , plus largement : étonnant , expressif , propre à faire de l effet , surtout dans le domaine visuel ."
spath,spar,Structure minérale et cristalline .
vingtaine,score,Réunion de personnes ou de choses de même nature au nombre de vingt ou environ .
vingtaine,score,"Subdivision politique de Jersey , inférieure à la paroisse ."
vingtaine,score,dans la <concept> Âges de 20 à 29 ans .
vingtaine,score,Moyen cordage dont on se sert pour faire les échafaudages et pour faire les .
cochon,pork,"Mammifère domestique , ongulé de l ’ ordre des suidés ; porc ."
cochon,pork,Porc mâle et châtré élevé pour l ’ alimentation .
cochon,pork,"Viande de cet animal , porc , ."
cochon,pork,par ext Tirelire très courante en forme de cochon .
consistorial,consistorial,Relatif à un consistoire .
pingo,pingo,colline de glace
pronation,pronation,"Inclinaison , il n ’ est usité que dans cette expression :"
sanitaire,sanitary,"Qui a rapport à la santé , et particulièrement à la conservation de la santé publique ."
sonique,sonic,Relatif à la vitesse du son .
caresse,caress,"Témoignage d ’ affection , de tendresse ou de sensualité que l ’ on donne à ’ un , en geste ou en paroles ."
caresse,caress,On le dit également des animaux .
caresse,caress,Se dit aussi des choses .
caresse,caress,par ext Témoignage par paroles d ’ une affection plus ou moins sincère .
coller,glue,Joindre et faire tenir deux choses ensemble avec de la colle .
coller,glue,Unir fortement des choses entre elles ou à d ’ autres .
coller,glue,"Enduire , imprégner de colle ."
coller,glue,"Mettre dans du vin , de la gélatine ou quelque autre ingrédient , pour conserver ou rendre sa limpidité ."
harissa,harissa,Assaisonnement très fort originaire du Maghreb et à base de purée de piments rouges .
sambuca,sambuca,"Liqueur italienne obtenue par distillation d anis étoilé , et d autres arômes végétaux comme la réglisse , additionnés d alcool et de sucre ."
bénin,benign,Doux et bienveillant .
bénin,benign,"Trop bon , dont la tolérance tourne à la faiblesse ."
bénin,benign,"Propice , favorable ."
bénin,benign,Qui n ’ est pas alarmant .
oxygène,oxygen,"Élément chimique de numéro atomique 8 et de symbole O qui fait partie des , plus spécifiquement des ."
oxygène,oxygen,"Gaz constitué d ’ <concept> moléculaire , à conditions normales de pression et de température ."
oxygène,oxygen,"par ext Air non vicié , non pollué ."
oxygène,oxygen,"Utilisé uniquement dans la locution « gaz oxygène » , pour désigner l ’ oxygène en tant que gaz ."
salir,dirty,Rendre sale .
salir,dirty,Présenter à l ’ imagination des idées .
salir,dirty,"et Déshonorer ’ un par des propos , par des calomnies ."
salir,dirty,et Se dit d ’ un homme qui a fait quelque action nuisible à sa réputation .
souper,supper,"vieilli ou régional , Belgique , Canada , Suisse Prendre le repas du note En France , en français standard , on dit plutôt aujourd ’ hui , en ce sens , dîner ."
souper,supper,"Prendre un repas dans la nuit , plus tard que pour un dîner , notamment après une sortie vespérale ."
souper,supper,"en avoir soupé : , En avoir assez , en avoir marre ."
calmar,squid,Étui de plumes à .
calmar,squid,Mollusque céphalopode à dix bras appartenant à l ’ ordre Teuthida .
caractère,character,"Empreinte , marque , figure tracée sur une surface quelconque avec une plume , un burin , un ciseau ou de toute autre manière , et à laquelle on attribue une note Se dit particulièrement des lettres et autres figures dont on se sert dans l ’ écriture ou dans l ’ impression ."
caractère,character,Type dont se servaient les imprimeurs .
caractère,character,Ensemble des types de même grosseur ou force de corps .
caractère,character,Donnée qui représente un élément de texte selon un système de codage .
gerbe,sheaf,"Botte de céréales , où les épis sont disposés d ’ un même côté ."
gerbe,sheaf,"Faisceau , ."
gerbe,sheaf,"Collection , ensemble de morceaux de littérature , de pensées ."
gerbe,sheaf,"Dîme sur les moissons , prélevée sous l ’ Ancien Régime ."
pompon,pompom,"Ornement en forme de houppe , de boule et qui sert dans la toilette et dans l ’ ameublement ."
pompon,pompom,Houppe de laine en forme de boule que les militaires portaient à leur képi de grande tenue et d ’ un ornement de même genre que les marins de l ’ État portent encore à leur béret .
pompon,pompom,"Boule de laine en haut d ’ un bonnet , d ’ une tuque ."
pompon,pompom,"Houppe de laine suspendue et balancée d un manège forain , donnant droit à un tour gratuit supplémentaire à l enfant qui parvient à le décrocher ."
sebright,sebright,"zootechnie Race de poules naines , originaires d ’ Angleterre , aux ailes pointant vers le bas , ornementale ."
sénat,senate,"Assemblée de patriciens qui formait le conseil suprême et perpétuel , de l ’ ancienne Rome ."
sénat,senate,"Diverses assemblées dont les membres sont appelés à en faire partie soit par le choix du Chef de l ’ état , soit par élection , et dont la puissance , les attributions sont plus ou moins étendues ."
sénat,senate,Lieu où le <concept> s ’ assemble .
tremper,dip,Mouiller une chose en la mettant dans quelque liquide .
tremper,dip,Imbiber d ’ un liquide .
tremper,dip,"Diluer . Imbiber d ’ eau , humecter ."
tremper,dip,absolument Plonger du fer surchauffé dans un liquide froid pour le rendre dur et élastique .
barreau,bar,Barre de bois ou de fer qui sert de clôture .
barreau,bar,Un des bâtons qui servent à assembler et à maintenir les montants d ’ une chaise .
barreau,bar,Barre de fer terminée par un gros manche de bois qui servait à faire mouvoir la vis de la presse .
barreau,bar,Monnayage La barre d ’ un balancier .
copeau,shaving,"Éclat , morceau ou qu ’ on enlève du bois avec un instrument tranchant ."
copeau,shaving,Tortillon de métal .
copeau,shaving,par ext Lamelles de bois très fines dont on fait des peignes ou des ornements .
copeau,shaving,Tranches fines de roche schisteuse dont on fait les ardoises .
hameau,hamlet,"En milieu rural , groupe d ’ habitations à l ’ écart d ’ une commune , à laquelle il est rattaché administrativement ."
mandoline,mandolin,"Luth de petite taille , à cordes pincées , à touche garnie de frettes marquant les , ayant de 4 à 12 cordes selon les modèles ."
mandoline,mandolin,"Ustensile de cuisine , permettant de faire des lamelles , des tranches de légumes ."
nosocomial,nosocomial,"Relatif à un hôpital , ."
nosocomial,nosocomial,"Se dit d ’ une maladie infectieuse contractée dans un établissement de santé et affectant soit le malade du fait de son admission ou des soins qu ’ il a reçus , soit le personnel hospitalier du fait de son activité ."
rebelle,rebel,"Personne participant à une rébellion , à une révolte"
samovar,samovar,"Bouilloire en métal à deux étages , l ’ étage inférieur contenant de l ’ eau chaude , l ’ étage supérieur contenant le thé qui infuse dans un peu d eau , qui sert à faire le thé ."
savon,soap,"Produit basique obtenu par la combinaison d ’ un acide gras avec un alcali et qui sert à blanchir le linge , à nettoyer , à dégraisser ."
seille,bucket,"Bassine , munie d ’ oreilles dans lesquelles on passe une corde en guise d ’ anse et qui sert à transporter les liquides , en particulier , le mout tiré du pressoir ."
seille,bucket,Mesure de capacité d ’ environ 16 litres .
digue,dike,"Levée de terre , de pierres , de bois , pour contenir des eaux d ’ un fleuve , d ’ un torrent , d ’ un lac , et contrer les flots de la mer ."
digue,dike,Portions de terrains qui jouent le rôle de digue
digue,dike,"Obstacle qu ’ on oppose à ce qu ’ on juge excessif , nuisible , dangereux ."
digue,dike,"Femme , prostituée ."
encyclopédique,encyclopedic,Qui embrasse toutes les connaissances humaines .
encyclopédique,encyclopedic,Qui possède ou qui réunit des connaissances de tout genre .
hampe,pole,"Long manche ou support , généralement en bois , d ’ un pinceau , d ’ un drapeau , d ’ une arme d ’ hast , d ’ une pertuisane , d ’ un épieu , d ’ un écouvillon ou d ’ un refouloir ."
hampe,pole,"Tige herbacée sans feuilles ni rameaux , et destinée seulement à porter la fleur et le fruit ."
hampe,pole,Vénerie Poitrine du cerf .
hampe,pole,"Point de maniement d ’ un bovin sur pied , permettant d ’ évaluer son état d ’ engraissement . Il se fait à hauteur de l ’ aine , dans l ’ épaisseur du repli étendu de la partie postérieure et latérale du ventre vers l ’ extrémité inférieure et antérieure de la cuisse , des deux côtés ."
luminaire,light,Ce qui sert à éclairer .
magnifier,magnify,Exalter par de grandes louanges .
meishan,meishan,"zootechnie Race de porcs , originaires de la Chine , à oreilles tombantes et à robe noire ."
praline,praline,Amande dans du sucre .
praline,praline,"Petite friandise au chocolat fourré vendue dans des , prisées en Belgique ."
praline,praline,Amande dans du sucre
catgut,catgut,Fil de suture fabriqué à partir d intestins d animaux . En France son emploi est interdit en chirurgie depuis 2001 à cause de cette origine animale .
lazaret,lazaretto,Bâtiment réservé à l ’ isolement de qui ou quoi est potentiellement contagieux
steinbock,steenbok,"Espèce de petite antilope d Afrique de l Est et australe , à petites cornes , et au pelage fauve à roux ."
tectum,tectum,Partie supérieure du mésencéphale et siège des réflexes auditifs et visuels .
terreur,terror,"Émotion profonde causée dans l ’ âme par la présence , l ’ annonce , la peinture d ’ un grand mal ou d ’ un grand péril ; épouvante , crainte violente ."
terreur,terror,"par ext Objet de crainte , d ’ épouvante ."
terreur,terror,Régime politique qui use d ’ une rigueur impitoyable et inspire une grande crainte .
tisserand,weaver,Ouvrier ou artisan qui tisse de la toile .
tisserand,weaver,"Ouvrier qui fait des étoffes de laine ou de soie , ."
ukase,ukase,"Édit promulgué par un tsar en vertu de son pouvoir autocratique . Le terme a été repris sous le régime communiste en Union soviétique , et demeure en usage concernant un acte exécutif pris par le président de la Fédération de Russie ."
ukase,ukase,"Acte d ’ autorité arbitraire , décision discrétionnaire prise par le dépositaire d ’ un pouvoir . Généralement utilisé de manière péjorative pour stigmatiser l ’ absence de démocratie ."
ukase,ukase,"Prise de position péremptoire , décision outrepassant les prérogatives normales d ’ une personne ."
farad,farad,"Unité de mesure de capacité électrique du Système international , dont le symbole est F . Un condensateur a une capacité électrique de 1 farad quand 1 coulomb de charge cause une différence de potentiel de 1 volt ."
farad,farad,Unité de mesure de capacité électrique
grenouille,frog,"Amphibien anoure à taille mince et à peau lisse , sauteur et nageur grâce à ses pattes arrière longues et palmées , qui vit ordinairement dans les marais et les étangs ."
grenouille,frog,Sorte de tirelire en forme de <concept> .
grenouille,frog,"Argent déposé dans cette tirelire , fonds de réserve d ’ une association ."
grenouille,frog,"Jeu de palet avec une figure de grenouille , populaire dans le nord de la France ."
interprétation,interpretation,Action d ’ interpréter ou résultat de cette action .
interprétation,interpretation,Façon dont les acteurs traduisent une pièce ou un rôle .
montée,ramp,Action de monter .
montée,ramp,"Endroit par où l ’ on monte à une montagne , à un coteau , à une éminence ,"
montée,ramp,"particulier , Rampe douce d ’ un édifice ."
montée,ramp,par ext Tout ce qui monte .
musicologie,musicology,Science de la musique .
pharaon,pharaoh,Souverain de l ’ antique .
pharaon,pharaoh,Pouvoir d ’ État égyptien .
vestale,vestal,Vierge consacrée à Vesta .
vestale,vestal,"Femme , jeune fille qui est d ’ une chasteté exemplaire ."
vestale,vestal,Prêtresse de Vesta
assaut,assault,"Attaque , action d ’ ."
assaut,assault,"Irruption soudaine , attaque ."
assaut,assault,Sollicitation vive et pressante .
assaut,assault,Simulacre de duel où l ’ on ne se bat qu ’ avec des armes mouchetées .
pêcheur,fisherman,"Celui qui fait métier et profession de pêcher , ou qui a le goût et l ’ habitude de la pêche ."
pêcheur,fisherman,Celui qui pêche
scampi,scampi,Variété de langoustines frites .
truc,trick,"Astuce , un tour de main , un procédé ingénieux ."
truc,trick,"Quelque chose dont on ne connait pas le nom , ou dont on se méfie ."
truc,trick,Montagne arrondie .
truc,trick,"Long wagon , ou chariot en manière de destiné au transport des matières lourdes sur les chemins de fer ."
joue,cheek,"Partie du visage de l ’ humain qui est des tempes et des yeux , et qui s ’ étend de chaque côté du nez jusqu ’ au menton dont la peau ferme latéralement la bouche ."
joue,cheek,Partie arrondie de la coque d ’ un navire qui est comprise entre le mât de misaine et l ’ étrave .
joue,cheek,"Pièce de bœuf , que l ’ on fait mijoter dans une sauce au vin ."
joue,cheek,Partie du visage
psychanalyse,psychoanalysis,"Méthode d ’ investigation psychologique qui aide à déceler dans l ’ esprit l ’ existence de souvenirs , désirs ou images , dont la présence subconsciente cause des troubles psychiques ou physiques ."
audace,audacity,Hardiesse excessive .
données,data,Pluriel de donnée
mancala,mancala,Terme générique d ’ un jeu de société africain ou asiatique dans lequel chaque joueur doit tenter de récolter le plus de pierres .
monstre,monster,Être qui a une conformation contre nature .
monstre,monster,Il se dit aussi des végétaux .
monstre,monster,Certains êtres imaginaires qui figurent dans les mythologies des Anciens .
monstre,monster,"Se faire un <concept> de quelque chose , S ’ imaginer qu ’ une chose est extraordinaire , très difficile ."
ouzo,ouzo,Liqueur d ’ origine grecque parfumée à l ’ anis .
ouzo,ouzo,Alcool grec
primat,primate,"Archevêque qui , en vertu d ’ anciens droits , possède une suprématie d ’ honneurs sur tous les évêques et archevêques d ’ une région ."
primat,primate,"Notable d ’ une ville , d ’ une région de la Grèce moderne ."
primat,primate,"Grosse bouteille de vin de 27 L , soit 36 bouteilles ."
primat,primate,dignitaire ecclésiastique
tirant,bootstrap,boucle d une botte que l on tire pour la chausser
alane,alane,Dérivé organique de l ’ hydrure d ’ aluminium
alimentation,food,Action d ’ alimenter ou de s ’ alimenter .
alimentation,food,Domaine de tout ce qui se rapporte à l ’ apport de nourriture permettant à un organisme vivant de fonctionner .
alimentation,food,"par ext Système secondaire , qui assure l ’ apport d ’ éléments de base et d ’ énergie à un système principal qui dépend du premier pour son fonctionnement ."
chanoine,canon,Religieux qui faisait partie des prêtres membres du conseil de l ’ évêque et chargés de célébrer l ’ office .
chanoine,canon,"Celui qui possède un canonicat dans une église cathédrale , collégiale ou certaines basiliques ."
chanoine,canon,"Prêtre ou diacre vivant dans une communauté religieuse et se distinguant des moines par le fait qu ’ il assume une charge pastorale d ’ âmes , souvent au sein d ’ une église paroissiale ."
envie,envy,"Chagrin ou haine que l ’ on ressent du bonheur , des succès , des avantages d ’ autrui ."
envie,envy,Désir de jouir d ’ un avantage pareil à celui d ’ autrui .
envie,envy,"Désir , volonté ."
envie,envy,L ’ odieux d ’ une chose .
frontière,border,"Les limites d ’ un état ou d ’ une contrée en tant qu ’ elles le séparent d ’ un autre état , d ’ une autre contrée ."
frontière,border,Ce qui sépare une chose d une autre .
frontière,border,au pluriel Limites ; bornes
frontière,border,Ensemble des points de l adhérence n appartenant pas à l ’ intérieur .
hydrolyse,hydrolysis,"Décomposition d ’ une substance grâce aux éléments dissociés de l ’ eau , c ’ les ions H + et OH - ."
hydrolyse,hydrolysis,"Usage critiqué Électrolyse , décomposition de l ’ eau en dioxygène et dihydrogène avec l ’ aide d ’ un courant électrique ."
maladie,disease,"Condition anormale du corps ou de l ’ esprit d ’ un être humain qui cause de l ’ inconfort ou du dysfonctionnement . Problème de santé chez un être vivant qui se traduit par une baisse des capacités physiques , de la fatigue ou plus généralement par un dysfonctionnement , une altération , du métabolisme ."
maladie,disease,Affection excessive pour quelque chose ; manie .
tenace,tenacious,Qui est adhérent ; qui tient fortement à quelque chose .
tenace,tenacious,"Qualifie les plantes et des parties de plantes qui s ’ attachent , s ’ accrochent à ce qui les touche , telles que les tiges et les semences du ."
