la,la,syllable used in solfège to represent the sixth note of a major scale
modifier,modificateur,"A word , phrase , or clause that limits or qualifies the sense of another word or phrase ."
modifier,modificateur,A keyword that qualifies the meaning of other code .
modifier,modificateur,"to change , modify"
pin,épingler,to fasten / attach with a <concept>
channel,canaliser,direct the flow
summer,été,"One of four seasons , traditionally the second , marked by the longest and typically hottest days of the year due to the inclination of the Earth and thermal lag . Typically regarded as being from June 21 to September 22 or 23 in parts of the USA , the months of June , July and August in the United Kingdom and the months of December , January and February in the Southern Hemisphere ."
summer,été,A horizontal beam supporting a building .
summer,été,A person who sums .
afro,afro,A hairstyle characterized by a tightly curled locks and a rounded shape .
afro,afro,"sharp , tart , sour , acerbic , bitter"
afro,afro,African of African culture
buffalo,buffle,"Any of the Old World mammals of the family Bovidae , such as the Cape buffalo , , or the water buffalo ."
buffalo,buffle,"A related North American animal , the American bison , Bison bison ."
buffalo,buffle,"To outwit , confuse , deceive , or intimidate ."
buffalo,buffle,"outwit , confuse"
heavy,lourd,Having great weight .
heavy,lourd,Not easy to bear ; burdensome ; oppressive .
heavy,lourd,"Louder , more distorted ."
heavy,lourd,Hot and humid .
grace,grâce,Elegant movement ; poise or balance .
grace,grâce,"Charming , pleasing qualities ."
grace,grâce,"Free and undeserved favour , especially of God . Unmerited divine assistance given to humans for their regeneration or sanctification ."
grace,grâce,Divine assistance in resisting sin .
studies,études,academic field of study
dessert,dessert,A sweet confection served as the last course of a meal
dessert,dessert,sweet confection served as the last course of a meal
battle,lutter,( intransitive ) to join in <concept> ; to contend in fight
corruption,corruption,"The act of corrupting or of impairing integrity , virtue , or moral principle ; the state of being corrupted or debased ; loss of purity or integrity ; depravity ; wickedness ; impurity ; bribery ."
corruption,corruption,"The act of corrupting or making putrid , or state of being corrupt or putrid ; decomposition or disorganization , in the process of putrefaction ; putrefaction ; deterioration ."
corruption,corruption,The product of <concept> ; putrid matter .
corruption,corruption,The decomposition of biological matter .
marketing,mercatique,informal promotion the act of promoting a product or service
marketing,mercatique,"the promotion , distribution and selling of a product or service"
cook,cuisiner,to prepare ( food ) for eating
cook,cuisiner,to prepare food
cook,cuisiner,to become ready for eating
courage,courage,The quality of a confident character not to be afraid or intimidated easily but without being incautious or inconsiderate .
courage,courage,The ability to do things which one finds frightening .
courage,courage,quality of a confident character
courage,courage,ability to do frightening things
divine,prédire,foretell ( something )
divine,prédire,guess ( something )
diagnostic,diagnostique,"of , or relating to diagnosis"
diagnostic,diagnostique,characteristic of a particular disease
potter,potier,One who makes pots and other ceramic wares .
potter,potier,One who places flowers or other plants inside their pots .
potter,potier,One who pots meats or other eatables .
potter,potier,One who hawks crockery or earthenware .
set,jeu,"collection of various objects for a particular purpose , such as a set of tools"
set,jeu,"matching collection of similar things , such as a set of tables"
set,jeu,"object made up several parts , such as a set of steps"
set,jeu,scenery for a film or play
parade,parade,"An organized procession consisting of a series of consecutive displays , performances , exhibits , etc. displayed by moving down a street past a crowd ."
parade,parade,"Any succession , series , or display of items ."
parade,parade,A line of goslings led by one parent and often trailed by the other .
parade,parade,"The ground where a military display is held , or where troops are drilled ."
natural,naturel,That exists and evolved within the confines of an ecosystem .
natural,naturel,Of or relating to nature .
natural,naturel,Without artificial additives .
natural,naturel,As expected ; reasonable .
locomotive,locomotive,"The power unit of a train which does not carry passengers or freight itself , but pulls the coaches or rail cars or wagons ."
locomotive,locomotive,A traction engine
locomotive,locomotive,A cheer characterized by a slow beginning and a progressive increase in speed
locomotive,locomotive,A country which drives the world economy by having a high level of imports . .
perry,poiré,A fermented alcoholic beverage made from pears ; somewhat analogous to cider .
perry,poiré,Beverage from pears
armor,armure,"protective layer over a body , vehicle , or other object intended to deflect or diffuse damaging forces"
armor,armure,natural form of this kind of protection on an animal s body
confluence,confluent,convergence or combination
confluence,confluent,point where two rivers or streams meet
cloche,cloche,"A glass covering , originally bell-shaped , for garden plants to prevent frost damage and promote early growth ."
cloche,cloche,"A bell-shaped , close-fitting women ’ s hat with a deep rounded crown and narrow rim ."
cloche,cloche,"A tableware cover , often resembling a bell ."
cloche,cloche,"An apparatus used in controlling certain aeroplanes , consisting principally of a steering column mounted with a universal joint at the base , which is bell-shaped and has attached to it the cables for controlling the wing-warping devices , elevator planes , etc ."
excellence,excellence,The quality of being excellent ; brilliance
excellence,excellence,Something in which one excels .
excellence,excellence,An excellent or valuable quality ; something at which any someone excels ; a virtue .
excellence,excellence,the quality of being excellent
continental,continental,Of or relating to a continent or continents .
continental,continental,"of the mainland , as opposed to an island offshore"
continental,continental,"Relating to , or characteristic of , continental Europe"
continental,continental,"Of or relating to the confederated colonies collectively , in the time of the Revolutionary War ."
colonial,colonial,Of or pertaining to a colony .
colonial,colonial,Of or pertaining to a period when a country or territory was a colony .
colonial,colonial,Of or relating to the original Thirteen Colonies of the USA .
colonial,colonial,Of or relating to the style of architecture prevalent at about the time of the Revolution .
divorce,divorcer,to legally dissolve a marriage
mar,entacher,"to spoil , to damage"
vampire,vampire,A mythological undead creature said to feed on the blood of the from earlier 18th c .
vampire,vampire,"A person with the medical condition Systemic lupus erythematosus , colloquially known as vampirism , with effects such as photosensitivity and brownish-red stained teeth ."
vampire,vampire,A blood-sucking bat ; <concept> bat from later 18th c .
vampire,vampire,"A person who drains one s time , energy , money , etc ."
hart,cerf,"A male deer , especially the male of the red deer after his fifth year ."
hart,cerf,A red deer or one of related species .
hart,cerf,"Organs heart , main muscle pumping blood through the body :"
hart,cerf,"The center point or zone of an object , image etc ."
vengeance,vengeance,"Revenge taken for an insult , injury , or other wrong ."
vengeance,vengeance,Desire for revenge .
vengeance,vengeance,"revenge taken for an insult , injury , or other wrong"
age,vieillir,intransitive : become old
instant,instantané,A very short period of time ; a moment .
instant,instantané,"A single , usually precise , point in time ."
instant,instantané,"A beverage or food which has been pre-processed to reduce preparation time , especially instant coffee ."
instant,instantané,A day of the current month
brothers,frères,male siblings
coin,inventer,"to make up or invent , and establish"
manger,mangeoire,A trough for animals to eat from .
manger,mangeoire,to eat consume food
manger,mangeoire,Puter to eat
manger,mangeoire,trough for animals to eat from
fusil,fusil,heraldic feature
blood,sang,"A vital liquid flowing in the bodies of many types of animals that usually conveys nutrients and oxygen . In vertebrates , it is colored red by hemoglobin , is conveyed by arteries and veins , is pumped by the heart and is usually generated in bone marrow ."
blood,sang,"A family relationship due to birth , such as that between siblings ; contrasted with relationships due to marriage or adoption ."
blood,sang,One of the four humours in the human body .
blood,sang,A <concept> test or blood sample .
observe,observer,"To notice or view , especially carefully or with attention to detail ."
observe,observer,"To follow or obey the custom , practice , or rules ."
observe,observer,To comment on something ; to make an observation .
observe,observer,"to notice , to watch"
loge,loge,upscale seating region in theatres or similar
technology,technologie,The organization of knowledge for practical purposes .
technology,technologie,All the different and usable technologies developed by a culture or people .
technology,technologie,the study of or a collection of techniques
grey,gris,extraterrestrial being
hotel,hôtel,"A large town house or mansion ; a grand private residence , especially in from 17th c ."
hotel,hôtel,"An establishment that provides accommodation and other services for paying guests ; normally larger than a guesthouse , and often one of a from 17th c ."
hotel,hôtel,The letter H in the ICAO spelling from 20th c .
hotel,hôtel,"The larger red property in the game of Monopoly , in contradistinction to houses ."
aluminium,aluminium,"light , silvery metal extracted from bauxite , and a chemical element with an atomic number of 13 ."
martial,martial,"Of , relating to , or suggestive of war ; warlike ."
martial,martial,Relating to or connected with the armed forces or the profession of arms or military life .
martial,martial,"Characteristic of or befitting a warrior ; having a military bearing ; soldierly , , ."
martial,martial,"Relating to , or containing , iron ; chalybeate ."
textile,textile,Cloth produced from a fabric .
textile,textile,"fabric , <concept> , canvas , piece of cloth"
textile,textile,cloth produced from fabric
intense,intense,Strained ; tightly drawn .
intense,intense,"Strict , very close or earnest ."
intense,intense,Extreme in degree ; excessive .
intense,intense,Extreme in size or strength .
bush,maquis,Remote undeveloped and uncultivated rural area
architectural,architectural,pertaining to architecture
garden,jardiner,grow plants
domestique,équipier,rider who assists
cave,caverne,"A large , naturally-occurring cavity formed underground , or in the face of a cliff or a hillside ."
cave,caverne,"A hole , depression , or gap in earth or rock , whether natural or man-made ."
cave,caverne,"A storage cellar , especially for wine or cheese ."
cave,caverne,"A place of retreat , such as a man cave ."
orchestra,orchestre,"A large group of musicians who play together on various instruments , usually including some from strings , woodwind , brass and / or percussion ; the instruments played by such a group ."
orchestra,orchestre,A semicircular space in front of the stage used by the chorus in Ancient Greek and Hellenistic theatres .
orchestra,orchestre,"The area in a theatre or concert hall where the musicians sit , immediately in front of and below the stage , sometimes used by other performers ."
orchestra,orchestre,the area in a theatre or concert hall where the musicians sit
revers,revers,"lapel , reversed"
ferry,bac,"A ship used to transport people , smaller vehicles and goods from one port to another , usually on a regular schedule ."
ferry,bac,A place where passengers are transported across water in such a ship .
ferry,bac,The legal right or franchise that entitles a corporate body or an individual to operate such a service .
partition,partition,"An action which divides a thing into parts , or separates one thing from another ."
partition,partition,A part of something that has been divided .
partition,partition,"An approach to division in which one asks what the size of each part is , rather than how many parts there are ."
partition,partition,The division of a territory into two or more autonomous ones .
robot,robot,"A machine built to carry out some complex task or group of tasks by physically moving , especially one which can be programmed ."
robot,robot,"An intelligent mechanical being designed to look like a human or other creature , and usually made from metal ."
robot,robot,A person who does not seem to have any emotions .
robot,robot,A traffic light .
kid,moquer,make a fool of
familial,familial,Of or pertaining to a human family .
familial,familial,Of or pertaining to any grouping of things referred to as a family .
familial,familial,of or pertaining to a human family
certification,certification,The act of certifying .
certification,certification,The granting of a certificate .
certification,certification,A professional qualification that certifies a person s ability .
certification,certification,act of certifying
hardy,robuste,"Having rugged physical strength ; inured to fatigue or hardships . A hardy plant is one that can withstand the extremes of climate , such as frost ."
hardy,robuste,"haughty , supercilious , arrogant"
hardy,robuste,inured to fatigue or hardships
extinction,extinction,The action of making or becoming extinct ; annihilation .
extinction,extinction,The absorption or scattering of electromagnetic radiation emitted by astronomical objects by intervening dust and gas before it reaches the observer .
extinction,extinction,the action of making or becoming extinct
knight,chevalier,"A warrior , especially of the Middle Ages ."
knight,chevalier,A young servant or follower ; a military attendant .
knight,chevalier,"Nowadays , a person on whom a knighthood has been conferred by a monarch ."
knight,chevalier,"A chess piece , often in the shape of a horse s head , that is moved two squares in one direction and one at right angles to that direction in a single move , leaping over any intervening pieces ."
cape,cap,"A piece or point of land , extending beyond the adjacent coast into a sea or lake ; a promontory ; a headland ."
cape,cap,"A sleeveless garment or part of a garment , hanging from the neck over the back , arms , and shoulders , but not reaching below the hips ."
cape,cap,To head or point ; to keep a course .
cape,cap,"To skin an animal , particularly a deer ."
height,hauteur,The distance from the base of something to the top .
height,hauteur,The vertical distance from the ground to the highest part of a standing person or animal .
height,hauteur,The highest point or maximum degree .
height,hauteur,"A mountain , especially a very high one ."
solitaire,solitaire,living alone or being alone ; solitary
confusion,confusion,A lack of clarity or order .
confusion,confusion,The state of being confused ; misunderstanding .
confusion,confusion,A state of shame or embarrassment .
confusion,confusion,lack of clarity or order
croissant,croissant,A flaky roll or pastry in a form of a crescent .
croissant,croissant,<concept> a flaky roll or pastry in a form of a crescent
croissant,croissant,a flaky roll or pastry in a form of a crescent
proportion,proportion,A quantity of something that is part of the whole amount or number .
proportion,proportion,Harmonious relation of parts to each other or to the whole .
proportion,proportion,Proper or equal share .
proportion,proportion,"The relation of one part to another or to the whole with respect to magnitude , quantity , or degree ."
occupant,occupant,person who occupies a place or a position
occupant,occupant,person sitting in a vehicle
occupant,occupant,owner or tenant
raid,raid,A quick hostile or predatory incursion or invasion in a battle .
raid,raid,"An attack or invasion for the purpose of making arrests , seizing property , or plundering"
raid,raid,"A large group in a massively multiplayer online game , consisting of multiple parties who team up to defeat a powerful enemy ."
raid,raid,An attacking movement .
rival,rival,"A competitor with the same goal as another , or striving to attain the same thing . Defeating a rival may be a primary or necessary goal of a competitor ."
rival,rival,Someone or something with similar claims of quality or distinction as another .
rival,rival,One having a common right or privilege with another ; a partner .
rival,rival,To oppose or compete with .
horizon,horizon,"The visible , horizontal line or point that appears to connect the Earth to the sky ."
horizon,horizon,"The range or limit of one s knowledge , experience or interest ."
horizon,horizon,The range or limit of any dimension in which one exists .
horizon,horizon,A specific layer of soil or strata
doyen,doyen,A commander in charge of ten men .
doyen,doyen,"The senior , or eldest male member of a group ."
doyen,doyen,"A leading light , or exemplar of a particular practice or movement ."
doyen,doyen,"to thaw , to melt"
terminal,terminal,A building in an airport where passengers transfer from ground transportation to the facilities that allow them to board airplanes .
terminal,terminal,A harbour facility where ferries embark and disembark passengers and load and unload vehicles .
terminal,terminal,A rail station where service begins and ends ; the end of the line . For example : Grand Central Terminal in New York City .
terminal,terminal,"A rate charged on all freight , regardless of distance , and supposed to cover the expenses of station service , as distinct from mileage rate , generally proportionate to the distance and intended to cover movement expenses ."
bonnet,bonnet,"A type of hat , once worn by women or children , held in place by ribbons tied under the chin ."
bonnet,bonnet,A traditional Scottish woollen brimless cap ; a bunnet .
bonnet,bonnet,"The polishing head of a power buffer , often made of wool ."
bonnet,bonnet,The hinged cover over the engine of a motor car ; a hood .
library,bibliothèque,"An institution which holds books and / or other forms of stored information for use by the public or qualified people . It is usual , but not a defining feature of a library , for it to be housed in rooms of a building , to lend items of its collection to members either with or without payment , and to provide various other services for its community of users ."
library,bibliothèque,A collection of books or other forms of stored information .
library,bibliothèque,"An equivalent collection of analogous information in a non-printed form , e.g. record library ."
library,bibliothèque,"A collection of software subprograms that provides functionality , to be incorporated into or used by a computer program ."
palace,palais,"Official residence of a head of state or other dignitary , especially in a monarchical or imperial governmental system ."
palace,palais,A large and lavishly ornate residence .
palace,palais,"A large , ornate public building used for entertainment or exhibitions ."
palace,palais,"large , lavish residence"
panorama,panorama,An unbroken view of an entire surrounding area .
panorama,panorama,A picture or series of pictures representing a continuous scene .
panorama,panorama,& nbsp ; a comprehensive survey .
panorama,panorama,<concept> unbroken view of an entire surrounding area
touché,touché,fencing hit
touché,touché,acknowledgement
expert,expert,Extraordinarily capable or knowledgeable .
expert,expert,<concept> person with extensive knowledge or ability in a given subject
expert,expert,<concept> person with extensive knowledge or ability in a given field
expert,expert,computing wizard program or script used to simplify complex operations
carton,carton,a box-like container made of paper designed to hold things for a limited time
parent,parent,One of the two persons from whom one is immediately biologically descended ; a mother or from 15th c .
parent,parent,A surrogate mother
parent,parent,A third person who has provided DNA samples in a IVF procedure in order to alter faulty genetic material
parent,parent,A person who acts as a <concept> in rearing a child ; a step-parent or adoptive parent .
notable,notable,person or thing of distinction
data,données,date specific moment in time
data,données,"installment , partial payment"
data,données,"curriculum vitae , résumé"
data,données,"Feminine singular of dato , past participle of dare"
newton,newton,derived unit of force
perception,perception,"Organization , identification , and interpretation of sensory information ."
perception,perception,Conscious understanding of something .
perception,perception,"That which is detected by the five senses ; not necessarily understood ; also that which is detected within consciousness as a thought , intuition , deduction , etc ."
perception,perception,that which is detected by the five senses
borne,porté,bollard such as those used to restrict automobiles off a pedestrian area
borne,porté,territorial boundary marker
borne,porté,territorial or geographical border
borne,porté,milestone such as those alongside a roadway
conference,conférence,The act of consulting together formally ; serious conversation or discussion ; interchange of views .
conference,conférence,A multilateral diplomatic negotiation .
conference,conférence,"A formal event where scientists present their research results in speeches , workshops , posters or by other means ."
conference,conférence,"An event organized by a for-profit or non-profit organization to discuss a pressing issue , such as a new product , market trend or government regulation , with a range of speakers ."
review,réviser,to look back over in order to correct or edit ; to revise .
prestige,prestige,Delusion ; illusion ; trick .
prestige,prestige,"The quality of how good the reputation of something or someone is , how favourably something or someone is regarded ."
prestige,prestige,"dignity , status , or esteem"
escalade,escalader,An act of scaling walls or fortifications
escalade,escalader,to scale the walls of a fortification
chair,présider,to act as chairperson
segment,segmenter,to divide into segments or sections
dominant,dominant,"The fifth major tone of a musical scale ; thus G is the dominant of C , A of D , and so on ."
dominant,dominant,The triad built on the <concept> tone .
dominant,dominant,A species or organism that is <concept> .
dominant,dominant,The dominating partner in sadomasochistic sexual activity .
chaos,chaos,A vast chasm or abyss .
chaos,chaos,The unordered state of matter in classical accounts of cosmogony
chaos,chaos,"Any state of disorder , any confused or amorphous mixture or conglomeration ."
chaos,chaos,A given medium ; a space in which something exists or lives ; an environment .
willy,zizi,Willing ; favourable ; ready ; eager .
willy,zizi,A willow basket .
willy,zizi,A fish basket .
willy,zizi,a person whom the speaker dislikes .
sabre,sabre,"A light sword , sharp along the front edge , part of the back edge , and at the point ."
sabre,sabre,A modern fencing sword modeled after the sabre .
sabre,sabre,a single-edged sword
sabre,sabre,"the force , arms"
gang,bande,To go ; walk ; proceed .
gang,bande,"A going , journey ; a course , path , track ."
gang,bande,An outhouse : an outbuilding used as a lavatory .
gang,bande,A number going in company ; a number of friends or persons associated for a particular purpose .
butler,sommelier,A manservant having charge of wines and liquors .
butler,sommelier,"The chief male servant of a household who has charge of other employees , receives guests , directs the serving of meals , and performs various personal services ."
butler,sommelier,"A valet , a male personal attendant ."
butler,sommelier,manservant having charge of wines and liquors
chanter,chalumeau,the pipe of a bagpipe
cloud,nuage,A rock ; boulder ; a hill .
cloud,nuage,A visible mass of water droplets suspended in the air .
cloud,nuage,"Any mass of dust , steam or smoke resembling such a mass ."
cloud,nuage,Anything which makes things foggy or gloomy .
english,anglais,"Spinning or rotary motion given to a ball around the vertical axis , as in billiards or bowling ."
english,anglais,spinning or rotary motion around the vertical axis
oblige,imposer,"To constrain someone by force or by social , moral or legal means ."
oblige,imposer,To do someone a service or favour .
oblige,imposer,To be indebted to someone .
oblige,imposer,To do a service or favour .
substance,substance,Physical matter ; material .
substance,substance,The essential part of anything ; the most vital part .
substance,substance,Substantiality ; solidity ; firmness .
substance,substance,Material possessions ; estate ; property ; resources .
winter,hiverner,"spend the <concept> , as in a particular place on holiday"
raw,cru,Of food : not from 9th c .
raw,cru,"Not treated or processed ; in a natural state , unrefined , from 10th c ."
raw,cru,"Having had the skin removed or abraded ; chafed , tender ; exposed , from 14th c ."
raw,cru,New or from 16th c .
period,période,Appropriate for a given historical era .
period,période,"Set in and designed to evoke a particular historical period , especially through the use of elaborate costumes and scenery ."
period,période,To come to a <concept> ; to conclude .
period,période,To put an end to .
poser,colle,"someone who , or something which , poses"
pole,pôle,extreme of an axis
pole,pôle,magnetic point
tower,tour,"A very tall iron-framed structure , usually painted red and white , on which microwave , radio , satellite , or other communication antennas are installed ; mast ."
tower,tour,"A similarly framed structure with a platform or enclosed area on top , used as a lookout for spotting fires , plane crashes , fugitives , etc ."
tower,tour,Any very tall building or structure ; skyscraper .
tower,tour,"Any item , such as a computer case , that is usually higher than it is wide ."
jungle,jungle,"A large , undeveloped , humid forest , especially in a tropical region , that is home to many wild plants and animals ."
jungle,jungle,"A place where people behave ruthlessly , unconstrained by law or morality ."
jungle,jungle,An area where hobos camp together .
jungle,jungle,A style of electronic music related to drum and bass .
asteroid,astéroïde,Any member of the taxonomic class Asteroidea ; a starfish
asteroid,astéroïde,"A naturally occurring solid object , which is smaller than a planet and is not a comet , that orbits a star"
asteroid,astéroïde,"In the Solar system , such a body that orbits within the orbit of Jupiter"
adapter,adaptateur,One who is capable of adapting to differing situations .
adapter,adaptateur,"One who adapts a thing , e.g. a play ."
adapter,adaptateur,A device or application used to achieve operative compatibility between devices that otherwise are incompatible .
adapter,adaptateur,"Specifically , a device that permits two , three , or more plugs to be used at a single electrical power point ."
duke,duc,The male ruler of a duchy .
duke,duc,The sovereign of a small state .
duke,duc,A high title of nobility ; the male holder of a dukedom .
duke,duc,"to cut into a queue , without permission ; to cut into a queue in front of someone"
ruth,pitié,"Sorrow for the misery of another ; pity , compassion ; from 13th c ."
ruth,pitié,Repentance ; regret ; from 13th c .
ruth,pitié,Sorrow ; misery ; distress . c .
ruth,pitié,Something which causes regret or sorrow ; a pitiful sight . c .
boutique,boutique,"a small shop , especially one that sells fashionable clothes , jewelry and the like"
southern,méridional,"Of , facing , situated in , or related to the south ."
southern,méridional,"Of or pertaining to a <concept> region , especially Southern Europe or the southern United States ."
southern,méridional,Of a wind : blowing from the south ; southerly .
southern,méridional,of the south
invite,inviter,To ask for the presence or participation of someone or something .
invite,inviter,To request formally .
invite,inviter,To allure ; to draw to ; to tempt to come ; to induce by pleasure or hope ; to attract .
invite,inviter,( informal ) invitation
mare,jument,An adult female horse .
mare,jument,A foolish woman .
mare,jument,A type of evil spirit thought to sit on the chest of a sleeping person ; also the feeling of suffocation felt during sleep ; a nightmare .
mare,jument,A nightmare ; a frustrating or terrible experience .
rite,rite,A religious custom .
rite,rite,A prescribed behavior .
rite,rite,"according to religious usage , with due observances , with proper ceremonies , ceremonially , solemnly , duly"
rite,rite,"to resemble ; to be like , similar , alike"
diffuse,diffus,not concentrated
creek,crique,"A small inlet or bay , narrower and extending farther into the land than a cove ; a recess in the shore of the sea , or of a river ; the inner part of a port that is used as a dock for small boats ."
creek,crique,A stream of water smaller than a river and larger than a brook .
creek,crique,Any turn or winding .
creek,crique,stream of water
saxophone,saxophone,"A single-reed instrument musical instrument of the woodwind family , usually made of brass and with a distinctive loop bringing the bell upwards ."
saxophone,saxophone,a musical instrument of the woodwind family
unit,unité,A standard measure of a quantity .
unit,unité,An organized group comprising people and / or equipment .
unit,unité,A member of a military organization .
unit,unité,"Any military element whose structure is prescribed by competent authority , such as a table of organization and equipment ; specifically , part of an organization Joint Publication 1-02 U.S. Department of Defense Dictionary of Military and Associated Terms ; 12 April 2001 . ."
compatible,compatible,Capable of easy interaction .
compatible,compatible,Able to get along well .
compatible,compatible,able to get along well
compatible,compatible,capable of easy interaction
fraction,fraction,"A part of a whole , especially a comparatively small part ."
fraction,fraction,"A ratio of two numbers , the numerator and the denominator , usually written one above the other and separated by a horizontal bar ."
fraction,fraction,"A component of a mixture , separated by fractionation ."
fraction,fraction,"In a eucharistic service , the breaking of the host ."
drive,rendre,cause to become
drive,rendre,herd ( animals ) in a particular direction
drive,rendre,move something by hitting it with great force
drive,rendre,to travel by operating a motorized vehicle
ice,glacer,to cover with icing
pink,rose,"The common minnow , . from 15th c ."
pink,rose,"A young Atlantic salmon , Salmo salar , before it becomes a smolt ; a from 17th c ."
pink,rose,A narrow from 15th c .
pink,rose,To decorate a piece of clothing or fabric by adding holes or by scalloping the fringe .
discussion,discussion,Conversation or debate concerning a particular topic .
discussion,discussion,Text giving further detail on a subject .
discussion,discussion,conversation or debate
explorer,explorateur,One who explores something
explorer,explorateur,A person who by means of travel searches out new information .
explorer,explorateur,"Any of various hand tools , with sharp points , used in dentistry ."
explorer,explorateur,A visual representation of a file system etc. through which the user can navigate .
ward,garde,A guard ; a guardian or watchman .
ward,garde,A guard or watchman ; now replaced by warden .
ward,garde,"The action of a watchman ; monitoring , surveillance ."
ward,garde,"Guardianship , especially of a child or prisoner ."
guise,apparence,"Customary way of speaking or acting ; fashion , manner , practice"
guise,apparence,External appearance in manner or dress ; appropriate indication or expression ; garb ; shape .
guise,apparence,"Misleading appearance ; cover , cloak ."
guise,apparence,appearance in manner or dress
gorge,gorger,A deep narrow passage with steep rocky sides ; a ravine .
gorge,gorger,The throat or gullet .
gorge,gorger,"That which is gorged or swallowed , especially by a hawk or other fowl ."
gorge,gorger,A filling or choking of a passage or channel by an obstruction .
info,info,shortening of information
info,info,shortening of informatique
info,info,informal Short form of informazione .
info,info,abbreviation for “ information ”
conclusion,conclusion,"The end , finish , close or last part of something ."
conclusion,conclusion,The outcome or result of a process or act .
conclusion,conclusion,A decision reached after careful thought .
conclusion,conclusion,"In an argument or syllogism , the proposition that follows as a necessary consequence of the premises ."
intrigue,intriguer,to arouse interest
metro,métro,A train that runs on such an underground railway .
metro,métro,An urban rapid transit light railway
metro,métro,A train that runs on such a railway .
metro,métro,A metropolitan area .
descend,descendre,"To pass from a higher to a lower place ; to move downwards ; to come or go down in any way , as by falling , flowing , walking , etc . ; to plunge ; to fall ; to incline downward"
descend,descendre,To enter mentally ; to retire .
descend,descendre,"or upon } } To make an attack , or incursion , as if from a vantage ground ; to come suddenly and with violence ."
descend,descendre,"To come down to a lower , less fortunate , humbler , less virtuous , or worse , state or station ; to lower or abase oneself"
weber,weber,derived unit of magnetic flux
laser,laser,"A device that produces a monochromatic , coherent beam of light ."
laser,laser,A beam of light produced by such a device ; a laser beam .
laser,laser,To throw with laser-like precision
laser,laser,A gum resin obtained from certain umbelliferous plants .
brigadier,brigadier,An army rank ; an officer commanding a brigade .
brigadier,brigadier,"the highest field officer grade , below general officers , NATO grade O7"
brigadier,brigadier,an army rank
meeting,réunion,The action of the verb to meet .
meeting,réunion,A gathering of people / parties for a purpose .
meeting,réunion,"The people at such a gathering , as a collective ."
meeting,réunion,"An encounter between people , even accidental ."
folk,peuple,"Of or pertaining to the inhabitants of a land , their culture , tradition , or history ."
folk,peuple,Of or pertaining to common people as opposed to ruling classes or elites .
folk,peuple,Of or related to local building materials and styles .
folk,peuple,Believed or transmitted by the common people ; not academically correct or rigorous .
wall,emmurer,to enclose by surrounding with walls
entrepreneur,entrepreneur,A person who organizes and operates a business venture and assumes much of the associated risk .
entrepreneur,entrepreneur,A person who organizes a risky activity of any kind and acts substantially in the manner of a business entrepreneur .
entrepreneur,entrepreneur,"A person who strives for success and takes on risk by starting his own venture , service etc ."
entrepreneur,entrepreneur,person who organizes and operates a business and assumes the associated risk
maintenance,entretien,Actions performed to keep some machine or system functioning or in service
maintenance,entretien,A tort committed when a third party who does not have a bona fide interest in a lawsuit provides help or acquires an interest to a litigant s lawsuit .
maintenance,entretien,"Alimony , a periodical payment or a lump sum made or ordered to be made to a spouse after a divorce ."
maintenance,entretien,Money required or spent to provide for the needs of a person or a family .
foundation,fondation,"The act of founding , fixing , establishing , or beginning to erect ."
foundation,fondation,"That upon which anything is founded ; that on which anything stands , and by which it is supported ; the lowest and supporting layer of a superstructure ; ."
foundation,fondation,The result of the work to begin something ; that which stabilizes and allows an enterprise or system to develop .
foundation,fondation,"In solitaire or patience games , one of the piles of cards that the player attempts to build , usually holding all cards of a suit in ascending order ."
casting,audition,regurgitation of indigestible material by hawks
casting,audition,selection of performers
dolmen,dolmen,"A prehistoric megalithic tomb consisting of a capstone supported by two or more upright stones , most having originally been covered with earth or smaller stones to form a barrow ."
dolmen,dolmen,"More generally , any megalithic tomb , including passage graves and wedge tombs ."
dolmen,dolmen,tomb consisting of a capstone supported by two or more upright stones
nocturne,nocturne,A work of art relating or dedicated to the night .
nocturne,nocturne,"A dreamlike or pensive composition , usually for the piano ."
nocturne,nocturne,a dreamlike or pensive composition
miracle,miracle,An event that appears inexplicable by the laws of nature and so is held to be supernatural in origin .
miracle,miracle,A fortunate outcome that prevails despite overwhelming odds against it .
miracle,miracle,An awesome and exceptional example of something
miracle,miracle,wonderful event attributed to supernatural powers
motion,mouvement,A state of progression from one place to another .
motion,mouvement,A change of position with respect to time .
motion,mouvement,A change from one place to another .
motion,mouvement,A parliamentary action to propose something .
kingdom,royaume,A realm having a king and / or queen as its actual or nominal sovereign .
kingdom,royaume,"A realm , region , or conceptual space where something is dominant ."
kingdom,royaume,"A rank in the classification of organisms , below domain and above phylum ; a taxon at that rank ."
kingdom,royaume,nation having as supreme ruler a king and / or queen
chuck,vomir,Meat from the shoulder of a cow or other animal .
chuck,vomir,"A mechanical device that holds an object firmly in place , for example holding a drill bit in a high-speed rotating drill or grinder ."
chuck,vomir,"A chicken , a hen ."
chuck,vomir,A clucking sound .
happy,heureux,"Having a feeling arising from a consciousness of well-being or of enjoyment ; enjoying good of any kind , such as comfort , peace , or tranquillity ; blissful , contented , joyous ."
happy,heureux,"Experiencing the effect of favourable fortune ; favored by fortune or luck ; fortunate , lucky , propitious ."
happy,heureux,"Content , satisfied ; having no objection ."
happy,heureux,"Of acts , speech , etc . : appropriate , apt , felicitous ."
spring,ressort,device made of flexible material
spring,ressort,first season
spring,ressort,water source
