radiculaire	radicular
more	mora
fongicide	fungicide
chronique	chronic
vous	you
égal	equal
chrome	chrome
pâlir	fade
géométrique	geometric
friture	frying
méthylation	methylation
pointilleux	fussy
doublement	doubling
pétillant	sparkling
stencil	stencil
estaires	estaires
parer	pare
poule	chicken
somme	sum
démonologie	demonology
élu	elect
apoastre	apastron
têtière	headstall
copilote	codriver
frêle	frail
casemate	bunker
faisable	feasible
mec	covey
exiger	demand
bavure	smudge
mordre	bite
marauder	maraud
tintamarre	hullabaloo
fabuleusement	fabulously
adoptif	adoptive
masculinisme	masculism
pacifiquement	peacefully
timocratie	timocracy
gonflé	bloated
grotesque	grotesqueness
facile	easy
spécifique	specific
bouture	cutting
électrode	electrode
cheminot	railwayman
enduire	plaster
duc	duchy
liquidateur	liquidator
théâtral	histrionic
contreténor	countertenor
citrus	grapefruit
sinople	vert
lié	related
médium	medium
décorum	decorum
bourg	burg
dioïque	dioecious
thermogenèse	thermogenesis
sclère	sclera
grossesse	pregnancy
anonymiseur	anonymizer
lavage	washing
radian	radian
alternance	alternation
azyme	unleavened
obtenir	get
excommunier	excommunicate
antan	yesteryear
piétiste	pietist
revoir	revise
supin	supine
rasoir	shaver
remiser	gamble
prophète	prophet
fournée	batch
achevé	accomplished
malléable	malleable
singulier	grammar
montgolfière	balloon
baigner	bathe
douma	duma
lipizzan	lipizzan
ébaucher	rough
structure	framework
piriforme	pyriform
calme	composure
guanine	guanine
ductile	ductile
dalle	flagstone
chaussé	shod
invisible	invisible
hangar	hangar
laborieux	hardworking
biberon	bottle
symplectomorphisme	symplectomorphism
vallon	glen
prétendre	allege
gilet	waistcoat
coûter	cost
propylène	propene
chrysalide	chrysalis
junior	junior
toponyme	placename
regrettable	regrettable
tissu	fabric
philologue	philologist
hérétique	heretic
surintendant	superintendent
festival	festival
graviton	graviton
bornéol	borneol
catachrèse	catachresis
écheveau	skein
ecclésiastique	ecclesiastical
cosmochimie	cosmochemistry
étendard	standard
désavantage	handicap
subsidiaire	subsidiary
elliptique	elliptical
outillage	equipment
toile	linen
ambassadeur	ambassador
pallidum	pallidum
exécuteur	enforcer
goulu	glutton
urbaniste	urbanist
escroc	conman
bipied	bipod
travail	employment
héliocentrisme	heliocentrism
entrailles	bowels
acheteur	buyer
écueil	reef
factoriser	factorize
tresse	braids
oraison	orison
analytique	analytic
creux	hole
déchiffrer	decrypt
lieu	building
isotopie	isotopy
cristallographie	crystallography
kétamine	ketamine
gélifier	gel
anhydre	anhydrous
paramentique	vestment
allergique	allergic
canaliser	channel
provende	provender
cataclysme	cataclysm
pliage	folding
discursif	discursive
escroc	swindler
ecstasy	ecstasy
étonner	astonish
rectification	rectification
durable	durable
gesticuler	gesticulate
radiologique	radiologic
fraie	spawning
héliocentrique	heliocentric
anthocyane	anthocyanin
équipement	equipment
alexie	alexia
recourir	resort
narcisse	narcissus
exploitable	exploitable
géostationnaire	geostationary
givré	nuts
littéralement	literally
décharge	unloading
démythifier	demythologize
inhumation	inhumation
cutané	cutaneous
extrapoler	extrapolate
sangsue	leech
féminisme	feminism
ledit	said
aléatoirement	uncertainly
judoka	judoka
sextant	sextant
nanomachine	nanomachine
veau	veal
jerrican	jerrycan
recherché	wanted
dirigeable	directable
abréger	abridge
montée	rise
victimologie	victimology
limande	dab
préquelle	prequel
sentimentalement	sentimentally
brindilles	brushwood
lingot	ingot
partager	share
règle	rule
esprit	spirit
sunnite	sunni
populiste	populist
baguette	bread
troglodyte	troglodyte
télégramme	telegram
révolver	revolver
obstinément	stubbornly
tardigrade	tardigrade
mnémotechnique	mnemonic
pairie	peerage
damascène	damascene
circonférence	circumference
nerf	nerve
explicable	explicable
électrolyte	electrolyte
infarctus	infarct
désinscrire	unsubscribe
équation	equation
néfaste	nefarious
bifteck	beefsteak
dynamite	dynamite
professoral	professorial
intraitable	intractable
répudier	repudiate
salve	salvo
coloration	coloring
honorablement	honourably
coopérer	cooperation
pénicilline	penicillin
allumette	match
gammon	gammon
apparition	apparition
méfiant	distrustful
sédiment	sediment
phacochère	warthog
meurtre	murder
vertigineux	dizzying
apéritif	aperitif
chaleur	heat
latrine	latrine
squatter	squatter
mutable	mutable
micropesanteur	microgravity
allitération	alliteration
missive	missive
queer	queer
faire	scapegoat
miettes	smithereens
antipode	antipode
synchronicité	synchronicity
logement	lodging
foulard	cravat
tacitement	tacitly
platane	sycamore
quinquérème	quinquereme
pacte	pact
parapsychologie	parapsychology
nuage	cloud
affiner	refine
affolé	distraught
sape	sap
détruire	destroy
estimation	valuation
barbet	barbican
pitance	pittance
sillonner	plow
coloriage	coloring
déclinaison	declension
commercialisation	commercialization
existence	reality
composition	composition
catastrophe	catastrophe
guérir	cure
encapsuler	encapsulate
diplomatie	diplomacy
espièglerie	mischief
rendaku	rendaku
puissant	puissant
yogi	yogi
intégrine	integrin
boîtier	case
entrepreneur	entrepreneur
imam	imam
keynote	keynote
fouetter	whip
litre	litre
promiscuité	promiscuity
gynécée	gynaeceum
unanimement	unanimously
presse	press
scientifique	scientist
distingué	distinguished
rémanence	remanence
jaspe	jasper
monophonique	monaural
mémoires	memoirs
abaisseur	depressor
statistiques	statistics
suprémaciste	supremacist
contentement	satisfaction
incertitude	uncertainty
olfactif	olfactory
sympathie	sympathy
capillaire	capillary
impavide	fearless
acaricide	acaricide
glycérie	sweetgrass
fabrication	fabrication
dehors	outdoors
digression	digression
bivalent	bivalent
architrave	architrave
montage	montage
consommé	consommé
sanguine	sanguine
vagabond	vagabond
foncièrement	basically
vibe	vibe
passager	transitory
providentialisme	providentialism
baptistère	baptistery
inexprimable	inexpressible
salpêtre	saltpeter
assiette	tableware
clavette	spline
glyphe	glyph
stationnement	park
luministe	luminist
réverbère	lamppost
fixer	gaze
latéral	lateral
dépotoir	dump
mer	lake
chavirage	capsizing
marbre	marble
contributeur	contributor
percolation	percolation
submerger	submerge
rasage	shaving
tropique	tropic
enclitique	enclitic
chirurgical	surgical
assurance	insurance
ballade	ballad
sens	way
coati	coati
vacuole	vacuole
monotype	monotype
orthostat	orthostat
hin	hin
proverbe	saw
derrière	derriere
broyeur	shredder
gauche	gauche
escalator	escalator
bécasseau	stint
foncé	dark
gérontocratie	gerontocracy
croustillant	juicy
vêtement	garment
hybris	hubris
corallien	coral
douloureux	painful
rationalisation	rationalization
brouiller	jam
paresseusement	idly
intendant	steward
aporie	aporia
machinalement	mechanically
condescendant	condescending
pommeau	pommel
reversement	reversing
estimation	estimate
prédire	prediction
contrôleur	comptroller
renfermement	confinement
efflorescence	bloom
augurer	bode
hydroélectricité	hydroelectricity
étudiant	alumnus
saillant	projecting
candela	candle
mieux	better
rouage	clockwork
procédé	procedure
enregistrable	recordable
indomptable	indomitable
somptueusement	sumptuously
uniformément	evenly
colley	collie
agrégat	mass
sauveur	savior
filiforme	filiform
amplitude	amplitude
châtelain	lord
encourir	incur
arête	edge
alcyne	alkyne
néguentropie	negentropy
épinette	harpsichord
laminaire	kelp
appellatif	appellative
verbe	verb
retenir	restrain
clipper	clipper
chignon	chignon
cogner	conk
impassible	impassive
simpliste	simplistic
crédule	credulous
léproserie	leprosarium
fièvre	cold
guimbarde	clunker
diplôme	certificate
vendeur	salesman
automne	autumn
optimisme	optimism
là	there
maladresse	awkwardness
révision	review
lupin	wolfish
catalyser	catalyze
agile	nimble
farouchement	rabidly
nationaliste	nationalist
humanité	humankind
baleine	whale
délice	delectable
streptococcique	streptococcal
delphinium	delphinium
coder	encrypt
ouf	whew
narcose	narcosis
dorénavant	henceforth
polycarbonate	polycarbonate
irrépressible	irrepressible
kilt	kilt
arbutine	arbutin
involontaire	inadvertent
moucheron	gnat
pillage	plunder
existant	extant
goinfre	glutton
embrasser	embrace
lisibilité	readability
électromécanique	electromechanical
gomme	eraser
orage	lightning
rémoulade	remoulade
chirurgie	surgical
estrapade	strappado
observatoire	observatory
micron	micron
bruitage	soundtrack
étrangement	strangely
dévorer	devour
meishan	meishan
carillon	chime
zoophilie	bestiality
fardeau	load
vélaire	velar
poussin	chick
bollard	bollard
vitreux	vitreous
consister	consist
gerbe	sheaf
surdité	deafness
irréfutable	irrefutable
gueuler	bellow
jonquille	jonquil
tendre	tend
laverie	launderette
vénéneux	venomous
abandonner	renounce
atypique	atypical
iconostase	iconostasis
flacon	flask
efficacement	efficiently
robuste	hardy
sorcier	witch
mélange	medley
antimicrobien	antimicrobial
pagaie	canoe
appartenir	pertain
épée	sword
ziggourat	ziggurat
psychopathe	psychopath
censé	assumed
écrit	writing
documenteur	mockumentary
philologie	scholarship
blaguer	joke
penaud	sheepish
monocamérisme	unicameralism
distribution	share
prochain	forthcoming
escadre	squadron
skateur	skater
sulfure	sulfide
gravitationnellement	gravitationally
stœchiométrie	stoichiometry
laïcat	laity
juvénile	youthful
raconteur	storyteller
astronaute	astronaut
angiome	angioma
acquis	adventitious
hanche	hip
effet	effect
pantalonnade	clowning
dosette	packet
donner	share
linothorax	linothorax
granule	granule
complète	complete
quadrature	quadrature
irréalité	unreality
méthanol	methanol
mater	stare
raquette	racquet
mutisme	mutism
lie	dreg
ébriété	inebriety
balalaïka	balalaika
tomber	settle
originel	original
kappa	kappa
enchères	auction
quinze	fifteen
gouge	gouge
candide	guileless
soigneusement	carefully
engendrer	generate
kératocône	keratoconus
fanatique	fanatic
démesure	outrageousness
involontaire	unwitting
gombo	okra
présentateur	newscaster
ambidextre	ambidextrous
choqué	shocked
commune	town
deutéragoniste	deuteragonist
propagateur	propagator
ridé	wrinkled
bafouer	flout
quadruple	quadruple
justifier	excuse
capitalisation	capitalisation
biodégradabilité	biodegradability
escalade	climbing
surprendre	surprise
mécréant	miscreant
archiviste	archivist
détritique	detrital
polysyllabique	polysyllabic
lyonnais	lyonnaise
cuit	baked
bruine	drizzle
isentropique	isentropic
réformateur	reformer
administration	management
trace	trace
inconditionnellement	unconditionally
moudjahidin	mujahideen
boto	boto
mélangé	mixed
adduit	adduct
plongeon	loon
railler	tease
lamproie	lamprey
élève	schoolgirl
progression	progression
tatou	armadillo
latéralité	laterality
neige	snow
entrelac	entanglement
granodiorite	granodiorite
mon	my
composant	constituent
plénipotentiaire	plenipotentiary
sacristie	sacristy
interblocage	deadlock
modifier	edit
réparer	repair
actinote	actinolite
mourant	dying
mammographie	mammography
désapprouver	disapprove
révolte	revolt
télencéphale	telencephalon
prêt	poised
supporter	bear
témoigner	witness
inhérent	inherent
lunatique	lunatic
lapereau	kitten
copilote	copilot
dioptase	dioptase
papauté	papacy
troyen	trojan
reléguer	relegate
borée	boreas
roitelet	wren
oui	aye
porte	gateway
cuticule	cuticle
apaiser	allay
grattoir	scraper
porte	door
réservé	demure
reconstitution	reconstruction
randonner	hike
destructeur	destructor
antiseptique	antiseptic
gibier	game
physiquement	physically
destructeur	destroyer
ethnographe	ethnographer
orthostatique	orthostatic
angiosperme	angiosperm
jalouser	envy
boulangerie	baker
communiquer	communicate
utilité	utility
sexuel	sexuality
sacre	consecration
interplanétaire	interplanetary
momie	mummy
kebab	kebab
spadice	spadix
réflexivité	reflexivity
délimiter	delimit
gavage	gavage
myxine	hagfish
escarpement	steepness
buffet	buffet
cortisol	cortisol
effort	effort
gangster	gangster
couteau	knife
centigrade	centigrade
colonialisme	colonialism
métrosexuel	metrosexual
oiseleur	birdcatcher
paramétrer	parametrize
huître	oyster
voiture	driver
séropositivité	seropositivity
squelettique	skeletal
chéri	darling
mignon	cutie
agréger	aggregate
argent	money
banque	bank
étude	study
fièvre	fever
identifier	identify
épineux	thorny
postmoderne	postmodernist
trombe	downpour
dossier	chair
accoutrement	trappings
équipe	group
effrayant	frightful
nuancer	qualify
réunion	meeting
flottant	float
marasme	marasmus
amicalement	friendly
coercitif	coercive
soutenir	uphold
correction	punishment
selon	by
inconscient	unconscious
molécule	molecule
infarctus	infarction
fixe	fixed
facultatif	elective
empoisonneur	poisoner
maîtriser	control
évitement	avoidance
incrustation	incrustation
jungle	jungle
pizzeria	pizzeria
languette	bootstrap
siècle	century
sierra	sierra
omniscient	omniscient
églantier	rosebush
caporal	corporal
rassasié	sated
revoir	review
fractal	fractal
tiédeur	lukewarmness
constable	constable
moucher	snot
émigration	emigration
reformuler	reformulate
fournir	provide
ubiquité	ubiquitous
mammalien	mammalian
ectopie	ectopia
carne	dobbin
dipôle	dipole
apside	apsis
manger	eat
éclairer	enlighten
emplir	fill
déséquilibre	imbalance
usure	usury
débordement	overflow
replet	chubby
imparable	unbeatable
ambiguïté	ambiguity
météorite	meteorite
voter	vote
inciter	incite
détail	detail
nécessiteux	needy
grand	large
édifier	edify
spéléologie	spelunking
luire	glisten
largage	dispatching
bizut	freshman
toilette	toilet
décision	ruling
osier	osier
sangsue	bloodsucker
cachet	validator
séparable	separable
aplasie	aplasia
cracher	spew
compte	bank
hermine	ermine
argent	credit
couteau	edge
coquiller	shelly
solidement	solidly
trainer	haul
bronzage	suntan
adhérer	adhere
joute	joust
are	are
juku	juku
soucier	worry
hypersurface	hypersurface
réal	real
jalapeño	jalapeño
étiologique	etiological
calorie	calorie
hourra	hurrah
berger	shepherd
variabilité	variability
récurrent	recurrent
rapides	rapid
seigneurie	seigneurie
homard	lobster
palinodie	palinode
dahlia	dahlia
rétribution	reward
sextuplé	sextuplet
humiliation	abasement
mécaniser	mechanize
mouler	mould
trépan	trephine
barbotine	slip
indigné	indignant
anglésite	anglesite
enterrer	bury
italique	italics
ratifier	ratify
accusatif	accusative
hallucinogène	hallucinogenic
prise	intake
transactionnel	transactional
bride	flange
oxonium	oxonium
couronne	corona
ostéopathique	osteopathic
effort	effortless
branche	branch
payant	nonfree
tonne	tonne
porée	porée
avènement	advent
indisponibilité	unavailability
puriste	purist
magiquement	magically
modération	moderation
grisâtre	grayish
flâneur	stroller
pudeur	pudor
cenelle	haw
coupure	cut
variété	variety
manche	sleeve
quelque	some
poitevine	poitou
crépu	frizzy
malentendu	misheard
faillite	bankruptcy
augurer	augur
dermatologique	dermatological
scintiller	sparkle
spéléothème	speleothem
compréhensif	understanding
corpuscule	corpuscle
piller	loot
instructif	informative
routinier	routine
préférences	preferences
obstruer	stymie
pyrolytique	pyrolytic
ouvrable	openable
empreint	imprinted
saignant	bloody
jouabilité	gameplay
taquet	cleat
lavage	wash
microalgue	microalga
montrer	demonstrate
louange	kudos
déménager	move
lot	batch
genou	leg
diagnostiquer	diagnose
semiconducteur	semiconductor
massage	massage
radiolyse	radiolysis
archevêché	archbishopric
accent	emphasis
sudiste	southerner
suprêmement	supremely
portraitiste	portraitist
cinéphilie	cinephilia
obstruer	obstruct
extermination	extermination
encapsulation	encapsulation
bisque	bisque
arbitrage	arbitrage
photodiode	photodiode
inoccupé	unoccupied
conserve	canned
joker	joker
pé	pe
alkylation	alkylation
crosse	crook
reformulation	reformulation
emboutir	emboss
apophonie	apophony
ribonucléoprotéine	ribonucleoprotein
zircon	zircon
toile	cloth
circonscrire	circumscribe
tréma	diaeresis
andragogie	andragogy
régaler	treat
émerger	emerge
déménagement	removal
axiome	axiom
réveillé	awake
frais	charge
profusion	abundance
remake	remake
netteté	neatness
ban	ban
seaborgium	seaborgium
logique	logic
guru	guru
réclame	advertisement
adaptatif	adaptive
irréel	unreal
présentateur	presenter
matza	matzo
poursuivre	chase
caducée	caduceus
dominateur	domineering
buraliste	tobacconist
dangereusement	unsafely
lésion	lesion
coprophagie	coprophagy
écotoxicologie	ecotoxicology
précieux	valuable
koulak	kulak
hachette	hatchet
cœlome	coelom
flageller	flog
anesthésier	anaesthetize
lettrisme	lettrism
épicycle	epicycle
idéaliste	idealistic
maintenir	hold
diarrhée	diarrhea
séculier	secular
glabre	hairless
étrave	stem
pergélisol	permafrost
graver	engrave
prononcer	utter
must	must
nodule	nodule
militer	militate
clic	click
embâcle	logjam
candidose	candidiasis
châtier	castigate
supercalculateur	supercomputer
circonspection	circumspection
génuflexion	genuflection
fertilisant	fertilizer
vaginite	vaginitis
million	million
botnet	botnet
manque	want
receveur	receiver
salivaire	salivary
avouer	confession
inviolabilité	inviolability
bigarré	motley
turcie	levee
hyperacousie	hyperacusis
raisonnable	reasonable
arête	fishbone
exécrable	execrable
fraternel	fraternal
éminence	eminence
moquer	mockery
bizarrerie	bizarreness
élite	elite
scander	scan
nunchaku	nunchaku
produire	bear
idem	ditto
fille	girlish
radicalisation	radicalization
hampe	pole
gonfler	filling
simoniaque	simoniac
zodiaque	zodiac
ménage	housework
Église	church
sinistre	ominous
névralgique	neuralgic
résoudre	figure
décidé	resolute
hématome	hematoma
dispersion	dispersion
redécoupage	rezoning
programmable	programmable
compatible	compatible
lié	relation
corporel	bodily
catalepsie	catalepsy
flottation	floatation
risqué	risqué
assimilation	assimilation
respiratoire	respiratory
pal	stake
symbologie	symbology
pensionnaire	boarder
scotie	scotia
épiphore	epiphora
sonnerie	ringing
tulle	tulle
conflagration	conflagration
caciocavallo	caciocavallo
enthousiasme	enthusiasm
paraphimosis	paraphimosis
drainage	drainage
phosphore	phosphorus
antidiurétique	antidiuretic
épithète	epithet
exhaustivité	exhaustiveness
justaucorps	leotard
skiff	scull
abats	pluck
chevalier	knight
dispenser	exempt
trekking	trekking
revigorer	invigorate
piston	piston
stock	stock
aigremoine	agrimony
dentelé	jagged
camouflage	camouflage
quatrièmement	fourthly
opulence	opulence
nexus	nexus
aporie	koan
pareillement	alike
diapir	diapir
ondine	undine
hétérogénéité	heterogeneity
couturier	sewer
extorsion	extortion
roboratif	boosting
impôt	levy
allergisant	allergenic
nation	nationality
sacerdoce	priesthood
attribut	complement
rotondité	rotundity
bâclé	slipshod
seuil	doorstep
récessif	recessive
gyrocompas	gyrocompass
garde	ward
paveur	paver
philosophiquement	philosophically
souvenir	recollect
ironie	irony
sesquiterpène	sesquiterpene
publiciste	publicist
austral	austral
poreux	porous
campêche	logwood
masses	masses
tromper	guile
brigantin	brig
pressé	pressed
furieux	irate
requin	shark
glisser	slide
radical	stem
francisation	francization
timide	shy
percuter	collide
tmèse	tmesis
écouteur	earphone
écraser	clobber
température	thermometer
physiocrate	physiocrat
médiateur	mediator
encombrant	cumbersome
bistorte	bistort
friable	crumbly
radiateur	radiator
parthénogénèse	parthenogenesis
vue	outlook
descendant	descendant
polychromatique	polychromatic
indifférent	immaterial
discuter	discuss
jauge	burden
systématiser	systematize
aguerrir	harden
accréditation	credential
intrigant	scheming
technologie	technology
confins	border
flamant	flamingo
musique	music
parader	parade
gelée	gelatine
pasquin	lampoon
chanceler	toddle
flâner	saunter
guimauve	marshmallow
radiographie	radiograph
injustifié	unjustified
festin	feast
nucléus	nucleus
désinformation	disinformation
décédé	deceased
écrasement	crushing
cribler	sieve
coq	rooster
cytoplasme	cytoplasm
dermatologue	dermatologist
listing	listing
bans	banns
baronne	baroness
générationnel	generational
analgésie	analgesia
essoufflement	breathlessness
transposable	transposable
dodécaèdre	dodecahedron
clientèle	clientele
suzeraineté	suzerainty
regretter	regret
insipide	bland
désorienter	disorient
amadou	tinder
hautbois	oboe
métamorphose	metamorphosis
aréopage	areopagus
frapper	whack
microfossile	microfossil
traverser	cross
répartir	distribute
protéolytique	proteolytic
smiley	smiley
toccata	toccata
plural	plural
présumer	presume
dépendant	dependant
stentor	stentor
nuraghe	nuraghe
bouse	dung
métastatique	metastatic
branlant	rickety
page	knave
baril	barrel
bourdon	bumblebee
prospère	prosperous
conserver	conserve
rentabiliser	en
heel	heel
sousveillance	sousveillance
navigation	navigation
monophysisme	monophysitism
vipère	viper
thérien	therian
oncologue	oncologist
tort	wrong
chirographe	chirograph
efféminé	sissy
science	sum
spécialité	specialty
bathymétrie	bathymetry
élastique	elastic
féminité	femininity
connu	famous
col	collar
provoquer	provoke
patientèle	patients
terriblement	dreadfully
concert	performer
raser	shave
examiner	consider
goélette	schooner
qi	qi
politiser	politicize
rougequeue	redstart
forcément	necessarily
célèbre	celebrated
flash	flashgun
remplacement	substitution
amertume	bitterness
catégoriel	categorical
immobiliser	immobilize
réfrigérer	refrigerate
voisinage	neighborhood
catastrophisme	catastrophism
dispute	quarrel
hautboïste	oboist
ris	sweetbread
trictrac	backgammon
téléchargeable	downloadable
indélébile	indelible
inconstitutionnel	unconstitutional
télétravail	telework
joual	joual
complice	accomplice
pouffer	snigger
pusillanime	pusillanimous
barrette	biretta
inculper	charge
rogner	crop
produit	process
falaise	cliff
denrée	foodstuff
préfet	prefect
engageant	engaging
polygamie	polygamy
génie	genius
cosmodrome	cosmodrome
vocable	vocable
endocrine	endocrine
agilité	agility
persévérance	perseverance
gré	will
interfaçage	interfacing
porcelaine	china
fleuriste	florist
exarchat	exarchate
courageux	brave
dissuader	dissuade
magnétar	magnetar
dérivant	driftfish
fermeture	fastener
lapalissade	truism
tasse	cup
magistrat	magistrate
fixer	appoint
successeur	successor
gyre	gyre
prêter	lend
moudjahid	mujahid
réducteur	reducer
utérus	womb
méfiance	distrust
surfait	overdone
whist	whist
déclaratif	declarative
parsemer	strew
monticule	knoll
mobilier	harness
tapas	tapas
groupe	plot
énergiquement	energetically
représailles	retaliation
aspect	aspect
carriérisme	careerism
modulor	modulor
restaurateur	restaurateur
honoraire	honorary
gonflement	swelling
fondamentaliste	fundamentalist
chauffage	heating
réimprimer	reprint
mélange	mixed
effroi	terror
pogrom	pogrom
explétif	expletive
sport	sport
coke	coke
héroïsme	valour
visite	visit
informatiser	computerize
infuser	infuse
laudanum	laudanum
alias	alias
savoureux	savory
identifiable	identifiable
évacuer	evacuate
batch	batch
cookie	cookie
corset	corset
polyester	polyester
équateur	equator
tracas	vexation
protégée	protégée
penny	penny
instrumentation	instrumentation
kir	kir
salami	salami
complimenter	compliment
subversif	subversive
investiture	inauguration
régolithe	regolith
monopolisation	monopolization
sylphide	sylph
batucada	batucada
chateaubriant	châteaubriand
empoisonner	poison
dénoncer	denounce
prosencéphale	prosencephalon
tumbler	tumbler
kuru	kuru
dendrologie	dendrology
forum	forum
masochiste	masochist
alphabet	alphabet
tremplin	springboard
vase	drain
vainement	vainly
houille	coal
colon	settler
sagacité	sagacity
méhari	mehari
cervelle	brain
futile	futile
clairière	lawn
paléoanthropologie	paleoanthropology
zéro	nought
baptiser	christen
surmoi	superego
ren	ren
skiable	skiable
submerger	whelm
épistémologie	epistemology
quinoa	quinoa
jarre	jar
football	goal
omettre	omit
shibboleth	shibboleth
inspection	inspection
constitutionnel	constitutional
poésie	poetry
desmosome	desmosome
vendetta	retribution
mousseux	foamy
notochorde	notochord
médecin	physician
régime	regimen
partiel	partial
hryvnia	hryvnia
pingre	stingy
éclaircissement	enlightenment
tertre	mound
élasticité	elasticity
résiduel	residual
cartilage	cartilage
addax	addax
cloisonné	cloisonne
périapside	periapsis
coup	swat
babil	chat
félin	feline
provisoire	provisional
pontife	pontiff
commémorer	commemorate
omnivore	omnivore
moissonner	harvest
symposium	symposium
rem	rem
épigénétique	epigenetics
cynocéphale	cynocephalus
charme	hornbeam
atteindre	attain
glaçage	frosting
filetage	thread
musicologie	musicology
affixe	affix
derme	dermis
né	born
drongo	drongo
avancer	advance
mancheron	stilt
trille	trill
contact	contact
effacer	obliterate
scrapbooking	scrapbooking
chakchouka	shakshouka
vide	nothingness
vaillance	bravery
ibis	ibis
section	local
incohérence	discrepancy
minute	minute
optimum	optimum
véganisme	veganism
muscle	brawn
blanchir	vindicate
copieusement	copiously
sableux	sandy
attrister	sadden
conduire	steer
embuscade	ambush
charlatan	charlatan
allumage	firing
critique	critical
mouvance	following
juridique	judicial
apathique	apathetic
nectaire	nectary
équilibre	equilibrium
alcalinité	alkalinity
pacifier	pacify
directif	directive
dispense	waiver
imbécile	dolt
contraction	contraction
as	ace
conservation	conservation
zamak	zamak
triceps	triceps
facsimilé	facsimile
calmar	squid
ciller	seel
potier	ceramic
albacore	albacore
repopulation	repopulation
disparition	disappearance
rétracter	retract
compromettre	jeopardize
pointilleux	punctilious
tahini	hummus
mercurial	mercurial
sweatshirt	sweatshirt
myrtille	blueberry
périmé	obsolete
profiteur	scrounger
cautériser	cauterize
écope	bailer
beaufort	beaufort
longeron	longeron
transalpin	transalpine
dirigeable	dirigible
crêpe	pancake
thébaïne	thebaine
charitable	charitable
intro	intro
diaboliser	demonize
datcha	dacha
défi	affront
mécanique	mechanics
jeûne	fasting
carabine	rifle
hélicoïdal	helical
afghani	afghani
foutre	jizz
arc	arch
noyer	kill
rembobiner	rewind
résonant	resonant
beurre	butter
sarcler	weed
psychodrame	psychodrama
sot	sot
connecteur	connector
fraternellement	fraternally
disserter	expatiate
gril	grill
parallélogramme	rectangular
salopette	dungarees
campus	campus
théologique	theology
crosse	butt
caresse	caress
carriériste	careerist
impudence	impudence
étymologiquement	etymologically
attrister	grieve
fondateur	founder
glottique	glottal
baluchon	bindle
égarer	mislead
où	where
effrayer	faze
craquer	squeak
odorant	odorous
sinistrement	grimly
sculpter	sculpt
adaptateur	adapter
joie	festivity
loquace	loquacious
entonnoir	funnel
mécaniste	mechanistic
antioxydant	antioxidant
rétrodiffusion	backscatter
craintif	fearful
aimant	magnet
blesser	wound
enchantement	enchantment
rénal	renal
rubéole	rubella
régionalisme	regionalism
disqualifier	disqualify
vaurien	hoodlum
apocalyptique	apocalyptic
riche	abundant
mirer	stare
périoste	periosteum
maigrir	slim
seller	saddle
zoomorphe	zoomorphic
supportable	bearable
apparence	guise
compréhensible	understandable
compactage	compaction
aiguillat	dogfish
surnageant	supernatant
destructible	destroyable
percolateur	percolator
attirer	bait
marqueterie	marquetry
vapeur	smoke
conjonctive	sclera
retardataire	lagger
justifié	justified
mathématiquement	mathematically
dynamiteur	dynamiter
judicieusement	judiciously
conspectus	conspectus
centrage	centering
épicène	epicene
adhésion	adherence
immersion	immersion
bacchante	bacchante
souk	souq
caryotype	karyotype
herminette	adze
benzopyrène	benzopyrene
emballeur	packer
svastika	swastika
extraordinairement	exceptionally
conte	folktale
lori	lorikeet
confirmation	confirmation
contraposition	contraposition
broder	embroider
herbacé	herbaceous
teint	tinted
archiduché	archduchy
couronner	crown
culture	moral
parlement	parliament
vraisemblance	likelihood
extragalactique	extragalactic
consciencieux	conscientious
gargouillis	gurgle
copernicium	copernicium
modem	modem
judicieux	judicious
clafoutis	clafoutis
macrophage	macrophage
mambo	mambo
rhénan	rhenish
infidèle	infidel
stellarator	stellarator
convocation	summons
enfuir	elope
déloyal	disloyal
basane	sheepskin
convertir	convert
moule	mold
trier	sort
colorier	colour
léonin	leonine
onze	eleven
innocuité	harmlessness
télé	telly
juriste	lawyer
bogatyr	bogatyr
verbiage	verbiage
automobiliste	motorist
agresseur	aggressor
aoriste	aorist
peste	brat
chance	probability
obsessionnel	obsessive
maltraiter	treat
sérologie	serology
extraverti	extroverted
germe	embryo
pécari	peccary
vaccine	cowpox
noble	noblewoman
conservateur	curator
détacher	detach
boucher	clog
psalmiste	psalmist
ésotérisme	esoterism
fiscalité	taxation
cochevis	lark
déambuler	amble
tenon	mortise
trophallaxie	trophallaxis
kourgane	kurgan
célibataire	unmarried
grenier	granary
nitrique	nitric
serrage	tightening
vision	sight
fonctionnaire	officer
soumis	submissive
estime	esteem
esclavage	slavery
inquisiteur	inquisitor
panache	plumage
laisse	leash
pardon	forgive
inconnu	unknown
champignon	champignon
rutabaga	rutabaga
boulangère	baker
orteil	toe
cirre	tendril
indéniable	undeniable
cartulaire	cartulary
djembé	djembe
mourir	die
humain	human
déchirer	rip
emplâtre	poultice
incohérent	incoherent
xylographie	xylography
logarithmiquement	logarithmically
criminologie	criminology
exagération	exaggeration
steinbock	steenbok
ganga	sandgrouse
vocaliser	vocalize
pauvres	poor
aspirateur	aspirator
merveilleux	marvellous
solution	solution
safari	safari
installateur	installer
pénible	burdensome
lézard	lizard
désarmement	disarmament
viscoélastique	viscoelastic
aménorrhée	amenorrhoea
exhibitionniste	exhibitionist
patronyme	patronym
bêtise	nonsense
